sample	samples	ENSG00000262814.6	_primary_site
GTEX-11NSD-0826-SM-5986S	GTEX-11NSD-0826-SM-5986S	5.286	Prostate
GTEX-146FQ-1226-SM-5QGQ4	GTEX-146FQ-1226-SM-5QGQ4	5.286	Esophagus
GTEX-1117F-0726-SM-5GIEN	GTEX-1117F-0726-SM-5GIEN	5.286	Heart
GTEX-11TTK-0326-SM-5BC5N	GTEX-11TTK-0326-SM-5BC5N	5.286	Muscle
GTEX-ZDYS-2126-SM-5S2OD	GTEX-ZDYS-2126-SM-5S2OD	5.286	Adipose Tissue
GTEX-T2YK-0326-SM-4DM7D	GTEX-T2YK-0326-SM-4DM7D	5.285	Nerve
GTEX-X4EP-0126-SM-3P5YV	GTEX-X4EP-0126-SM-3P5YV	5.285	Skin
GTEX-1314G-0826-SM-5BC6L	GTEX-1314G-0826-SM-5BC6L	5.284	Esophagus
GTEX-146FH-1226-SM-5NQB6	GTEX-146FH-1226-SM-5NQB6	5.284	Lung
GTEX-ZAB4-0011-R7a-SM-4SOKE	GTEX-ZAB4-0011-R7a-SM-4SOKE	5.284	Brain
GTEX-U4B1-1626-SM-3DB8N	GTEX-U4B1-1626-SM-3DB8N	5.284	Muscle
GTEX-ZAKK-0326-SM-5EGHA	GTEX-ZAKK-0326-SM-5EGHA	5.284	Muscle
GTEX-ZAB5-0526-SM-5CVMU	GTEX-ZAB5-0526-SM-5CVMU	5.283	Spleen
GTEX-U8T8-1126-SM-4DXUE	GTEX-U8T8-1126-SM-4DXUE	5.282	Testis
GTEX-11DXY-0126-SM-5H11Q	GTEX-11DXY-0126-SM-5H11Q	5.282	Skin
GTEX-PX3G-1626-SM-2S1PT	GTEX-PX3G-1626-SM-2S1PT	5.282	Muscle
GTEX-ZAJG-1626-SM-5HL7I	GTEX-ZAJG-1626-SM-5HL7I	5.282	Adipose Tissue
GTEX-WFG7-1726-SM-4LVME	GTEX-WFG7-1726-SM-4LVME	5.281	Small Intestine
GTEX-13O61-0726-SM-5J2MD	GTEX-13O61-0726-SM-5J2MD	5.281	Lung
GTEX-WHPG-1426-SM-3NMBB	GTEX-WHPG-1426-SM-3NMBB	5.281	Lung
GTEX-12ZZX-0011-R6a-SM-5HL8L	GTEX-12ZZX-0011-R6a-SM-5HL8L	5.281	Brain
GTEX-RWS6-1326-SM-47JXB	GTEX-RWS6-1326-SM-47JXB	5.281	Uterus
GTEX-12696-0326-SM-5EGL4	GTEX-12696-0326-SM-5EGL4	5.28	Thyroid
GTEX-12WSF-0011-R6b-SM-5HL8W	GTEX-12WSF-0011-R6b-SM-5HL8W	5.28	Brain
GTEX-1399T-3026-SM-5KLZC	GTEX-1399T-3026-SM-5KLZC	5.28	Brain
GTEX-ZDTS-0008-SM-4E3I8	GTEX-ZDTS-0008-SM-4E3I8	5.28	Skin
GTEX-YFCO-1726-SM-4W21S	GTEX-YFCO-1726-SM-4W21S	5.279	Testis
GTEX-SE5C-1026-SM-4BRUG	GTEX-SE5C-1026-SM-4BRUG	5.278	Bladder
GTEX-139UC-3026-SM-5IJE4	GTEX-139UC-3026-SM-5IJE4	5.278	Pituitary
GTEX-ZDYS-1226-SM-5IJF3	GTEX-ZDYS-1226-SM-5IJF3	5.278	Prostate
GTEX-11DXY-2026-SM-5N9CZ	GTEX-11DXY-2026-SM-5N9CZ	5.278	Colon
GTEX-ZLFU-1426-SM-4WWEU	GTEX-ZLFU-1426-SM-4WWEU	5.278	Colon
GTEX-ZLV1-0126-SM-4WWBZ	GTEX-ZLV1-0126-SM-4WWBZ	5.278	Thyroid
GTEX-ZDYS-0126-SM-5HL6X	GTEX-ZDYS-0126-SM-5HL6X	5.278	Blood Vessel
GTEX-11LCK-1226-SM-5Q5AM	GTEX-11LCK-1226-SM-5Q5AM	5.278	Muscle
GTEX-YFC4-0126-101855-SM-5CVLZ	GTEX-YFC4-0126-101855-SM-5CVLZ	5.277	<not provided>
GTEX-WQUQ-0008-SM-4OOT1	GTEX-WQUQ-0008-SM-4OOT1	5.277	Skin
GTEX-13RTJ-2426-SM-5S2Q2	GTEX-13RTJ-2426-SM-5S2Q2	5.276	Skin
GTEX-WL46-2926-SM-3LK82	GTEX-WL46-2926-SM-3LK82	5.275	Brain
GTEX-13N11-2326-SM-5IJBF	GTEX-13N11-2326-SM-5IJBF	5.275	Skin
GTEX-O5YV-0226-SM-48TBY	GTEX-O5YV-0226-SM-48TBY	5.275	Adipose Tissue
GTEX-11GSO-2926-SM-5HL73	GTEX-11GSO-2926-SM-5HL73	5.274	Brain
GTEX-12WSM-0008-SM-5S2VD	GTEX-12WSM-0008-SM-5S2VD	5.274	Skin
GTEX-146FH-1326-SM-5NQBI	GTEX-146FH-1326-SM-5NQBI	5.274	Blood Vessel
GTEX-145MO-3126-SM-5S2RT	GTEX-145MO-3126-SM-5S2RT	5.273	Pituitary
GTEX-ZPCL-1426-SM-57WEC	GTEX-ZPCL-1426-SM-57WEC	5.273	Esophagus
GTEX-Y111-2426-SM-4TT23	GTEX-Y111-2426-SM-4TT23	5.272	Testis
GTEX-ZA64-1626-SM-5CVME	GTEX-ZA64-1626-SM-5CVME	5.272	Testis
GTEX-146FQ-1726-SM-5QGPX	GTEX-146FQ-1726-SM-5QGPX	5.272	Prostate
GTEX-R53T-1026-SM-48FCO	GTEX-R53T-1026-SM-48FCO	5.272	Esophagus
GTEX-QEG5-0526-SM-2S1PC	GTEX-QEG5-0526-SM-2S1PC	5.271	Nerve
GTEX-13QJ3-1926-SM-5QGQM	GTEX-13QJ3-1926-SM-5QGQM	5.271	Esophagus
GTEX-UJHI-0126-SM-4IHLP	GTEX-UJHI-0126-SM-4IHLP	5.271	Spleen
GTEX-Y5V6-1926-SM-5IFIL	GTEX-Y5V6-1926-SM-5IFIL	5.271	Adrenal Gland
GTEX-13OVJ-0011-R9b-SM-5L3GD	GTEX-13OVJ-0011-R9b-SM-5L3GD	5.271	Brain
GTEX-1399Q-2826-SM-5IJEZ	GTEX-1399Q-2826-SM-5IJEZ	5.27	Testis
GTEX-11NUK-1726-SM-5A5L2	GTEX-11NUK-1726-SM-5A5L2	5.27	Esophagus
GTEX-PLZ6-0426-SM-5IJDW	GTEX-PLZ6-0426-SM-5IJDW	5.27	Lung
GTEX-13G51-0011-R11b-SM-5J2NE	GTEX-13G51-0011-R11b-SM-5J2NE	5.27	Brain
GTEX-WH7G-1926-SM-4LVMM	GTEX-WH7G-1926-SM-4LVMM	5.269	Testis
GTEX-144GN-1226-SM-5O991	GTEX-144GN-1226-SM-5O991	5.269	Stomach
GTEX-RTLS-1226-SM-46MUP	GTEX-RTLS-1226-SM-46MUP	5.269	Esophagus
GTEX-N7MS-0011-R1a-SM-2HMJG	GTEX-N7MS-0011-R1a-SM-2HMJG	5.269	Brain
GTEX-WHSE-0011-R3A-SM-3P5ZM	GTEX-WHSE-0011-R3A-SM-3P5ZM	5.269	Brain
GTEX-R55D-0008-SM-48FEV	GTEX-R55D-0008-SM-48FEV	5.269	Skin
GTEX-13O21-2926-SM-5J1OU	GTEX-13O21-2926-SM-5J1OU	5.269	Blood Vessel
GTEX-131XE-2526-SM-5EQ57	GTEX-131XE-2526-SM-5EQ57	5.268	Nerve
GTEX-XGQ4-1826-SM-4AT6F	GTEX-XGQ4-1826-SM-4AT6F	5.268	Prostate
GTEX-131XG-1526-SM-5GCNQ	GTEX-131XG-1526-SM-5GCNQ	5.268	Colon
GTEX-X15G-0926-SM-4PQZE	GTEX-X15G-0926-SM-4PQZE	5.268	Esophagus
GTEX-Y5LM-1126-SM-4VDT5	GTEX-Y5LM-1126-SM-4VDT5	5.267	Esophagus
GTEX-WHSE-0726-SM-4RTXA	GTEX-WHSE-0726-SM-4RTXA	5.267	Blood Vessel
GTEX-Y3IK-0626-SM-4WWE4	GTEX-Y3IK-0626-SM-4WWE4	5.266	Lung
GTEX-ZVZQ-0011-R10b-SM-51MRT	GTEX-ZVZQ-0011-R10b-SM-51MRT	5.266	Brain
GTEX-ZG7Y-1826-SM-4WWD3	GTEX-ZG7Y-1826-SM-4WWD3	5.265	Colon
GTEX-11WQK-2626-SM-5EQ4K	GTEX-11WQK-2626-SM-5EQ4K	5.265	Stomach
GTEX-WHSE-1026-SM-57WAX	GTEX-WHSE-1026-SM-57WAX	5.264	Nerve
GTEX-12WSE-0011-R10b-SM-5P9JV	GTEX-12WSE-0011-R10b-SM-5P9JV	5.264	Brain
GTEX-ZVTK-0426-SM-51MRS	GTEX-ZVTK-0426-SM-51MRS	5.264	Skin
GTEX-11OF3-3126-SM-5GU5E	GTEX-11OF3-3126-SM-5GU5E	5.263	Brain
GTEX-R55G-0008-SM-48FEX	GTEX-R55G-0008-SM-48FEX	5.263	Skin
GTEX-Y3I4-2126-SM-4TT7C	GTEX-Y3I4-2126-SM-4TT7C	5.263	Skin
GTEX-X4EP-0726-SM-3P5YJ	GTEX-X4EP-0726-SM-3P5YJ	5.262	Nerve
GTEX-11NV4-1726-SM-5N9FC	GTEX-11NV4-1726-SM-5N9FC	5.262	Testis
GTEX-WH7G-0726-SM-3NMBM	GTEX-WH7G-0726-SM-3NMBM	5.262	Lung
GTEX-WZTO-0011-R6B-SM-4E3J6	GTEX-WZTO-0011-R6B-SM-4E3J6	5.262	Brain
GTEX-X4XX-0126-SM-3NMC2	GTEX-X4XX-0126-SM-3NMC2	5.262	Skin
GTEX-YECK-2826-SM-5IFHF	GTEX-YECK-2826-SM-5IFHF	5.261	Colon
GTEX-SE5C-0526-SM-2XCE1	GTEX-SE5C-0526-SM-2XCE1	5.261	Lung
GTEX-13QJC-0011-R6a-SM-5S2VI	GTEX-13QJC-0011-R6a-SM-5S2VI	5.261	Brain
GTEX-131XF-2826-SM-5EGKH	GTEX-131XF-2826-SM-5EGKH	5.261	Salivary Gland
GTEX-13O3Q-2426-SM-5IJBR	GTEX-13O3Q-2426-SM-5IJBR	5.261	Skin
GTEX-RU72-3126-SM-46MUB	GTEX-RU72-3126-SM-46MUB	5.26	Pituitary
GTEX-11OF3-1826-SM-5987N	GTEX-11OF3-1826-SM-5987N	5.26	Testis
GTEX-144GN-2126-SM-5O99D	GTEX-144GN-2126-SM-5O99D	5.26	Spleen
GTEX-YEC4-0126-SM-4W21T	GTEX-YEC4-0126-SM-4W21T	5.26	Spleen
GTEX-YEC4-2226-SM-5IFJT	GTEX-YEC4-2226-SM-5IFJT	5.26	Muscle
GTEX-139D8-1426-SM-5IJEX	GTEX-139D8-1426-SM-5IJEX	5.259	Esophagus
GTEX-13S86-0126-SM-5S2PI	GTEX-13S86-0126-SM-5S2PI	5.259	Spleen
GTEX-YB5E-0726-SM-4VDSH	GTEX-YB5E-0726-SM-4VDSH	5.259	Lung
GTEX-13FXS-0726-SM-5LZXJ	GTEX-13FXS-0726-SM-5LZXJ	5.259	Thyroid
GTEX-113IC-0008-SM-5QGRF	GTEX-113IC-0008-SM-5QGRF	5.259	Skin
GTEX-SUCS-1926-SM-32PM3	GTEX-SUCS-1926-SM-32PM3	5.259	Skin
GTEX-11P81-0726-SM-5PNYH	GTEX-11P81-0726-SM-5PNYH	5.259	Adipose Tissue
GTEX-145MI-0826-SM-5SI95	GTEX-145MI-0826-SM-5SI95	5.259	Adipose Tissue
GTEX-11OF3-0011-R6b-SM-57WBG	GTEX-11OF3-0011-R6b-SM-57WBG	5.258	Brain
GTEX-QVJO-1226-SM-4R1KA	GTEX-QVJO-1226-SM-4R1KA	5.257	Pituitary
GTEX-11P7K-2226-SM-5GU56	GTEX-11P7K-2226-SM-5GU56	5.257	Nerve
GTEX-NFK9-0126-SM-3LK5H	GTEX-NFK9-0126-SM-3LK5H	5.257	Testis
GTEX-11TT1-0326-SM-5LUAY	GTEX-11TT1-0326-SM-5LUAY	5.257	Pancreas
GTEX-1211K-0826-SM-5FQUP	GTEX-1211K-0826-SM-5FQUP	5.257	Lung
GTEX-13NYS-0011-R1b-SM-5MR55	GTEX-13NYS-0011-R1b-SM-5MR55	5.257	Brain
GTEX-13VXU-0626-SM-5L3F9	GTEX-13VXU-0626-SM-5L3F9	5.257	Skin
GTEX-1192X-2526-SM-59868	GTEX-1192X-2526-SM-59868	5.256	Small Intestine
GTEX-X15G-1426-SM-4PQZK	GTEX-X15G-1426-SM-4PQZK	5.256	Small Intestine
GTEX-X3Y1-1726-SM-4PQZL	GTEX-X3Y1-1726-SM-4PQZL	5.256	Colon
GTEX-P44G-0011-R3A-SM-2I3FC	GTEX-P44G-0011-R3A-SM-2I3FC	5.256	Brain
GTEX-132AR-0226-SM-5IJBE	GTEX-132AR-0226-SM-5IJBE	5.256	Adipose Tissue
GTEX-139T4-0826-SM-5N9GF	GTEX-139T4-0826-SM-5N9GF	5.255	Pituitary
GTEX-S95S-1126-SM-4B64E	GTEX-S95S-1126-SM-4B64E	5.255	Testis
GTEX-QLQ7-1326-SM-4R1JY	GTEX-QLQ7-1326-SM-4R1JY	5.255	Prostate
GTEX-12WSG-2426-SM-5EQLZ	GTEX-12WSG-2426-SM-5EQLZ	5.255	Colon
GTEX-ZVT3-2826-SM-5GU6A	GTEX-ZVT3-2826-SM-5GU6A	5.255	Colon
GTEX-11DXX-1226-SM-5GICD	GTEX-11DXX-1226-SM-5GICD	5.255	Esophagus
GTEX-13OW6-3026-SM-5J2MI	GTEX-13OW6-3026-SM-5J2MI	5.255	Brain
GTEX-QLQ7-1726-SM-2S1QQ	GTEX-QLQ7-1726-SM-2S1QQ	5.255	Muscle
GTEX-13PLJ-1726-SM-5L3FT	GTEX-13PLJ-1726-SM-5L3FT	5.254	Pituitary
GTEX-R55G-0826-SM-2TC5U	GTEX-R55G-0826-SM-2TC5U	5.254	Lung
GTEX-111CU-0126-SM-5GZWZ	GTEX-111CU-0126-SM-5GZWZ	5.254	Adrenal Gland
GTEX-WZTO-0011-R3B-SM-3NMC6	GTEX-WZTO-0011-R3B-SM-3NMC6	5.254	Brain
GTEX-13NZ9-2026-SM-5KM1U	GTEX-13NZ9-2026-SM-5KM1U	5.254	Adipose Tissue
GTEX-WZTO-0011-R1B-SM-3NMAR	GTEX-WZTO-0011-R1B-SM-3NMAR	5.253	Brain
GTEX-13FTW-2626-SM-5K7WL	GTEX-13FTW-2626-SM-5K7WL	5.253	Skin
GTEX-XBEW-0626-SM-4QASP	GTEX-XBEW-0626-SM-4QASP	5.253	Skin
GTEX-ZV6S-1826-SM-5NQ8D	GTEX-ZV6S-1826-SM-5NQ8D	5.253	Breast
GTEX-XLM4-3026-SM-4AT6L	GTEX-XLM4-3026-SM-4AT6L	5.252	Brain
GTEX-XBEW-0006-SM-4AT4E	GTEX-XBEW-0006-SM-4AT4E	5.251	Blood
GTEX-14753-0426-SM-5NQAM	GTEX-14753-0426-SM-5NQAM	5.251	Skin
GTEX-WHPG-2426-SM-3NMBQ	GTEX-WHPG-2426-SM-3NMBQ	5.25	Nerve
GTEX-11OC5-0126-SM-5HL6A	GTEX-11OC5-0126-SM-5HL6A	5.25	Skin
GTEX-S4Q7-0726-SM-4AD5F	GTEX-S4Q7-0726-SM-4AD5F	5.249	Stomach
GTEX-ZPU1-2326-SM-57WEP	GTEX-ZPU1-2326-SM-57WEP	5.249	Salivary Gland
GTEX-ZVTK-0008-SM-57WDA	GTEX-ZVTK-0008-SM-57WDA	5.249	Skin
GTEX-WFJO-0926-SM-4LVM2	GTEX-WFJO-0926-SM-4LVM2	5.248	Small Intestine
GTEX-Y9LG-1026-SM-5IFJN	GTEX-Y9LG-1026-SM-5IFJN	5.248	Stomach
GTEX-12WSG-0326-SM-5FQU3	GTEX-12WSG-0326-SM-5FQU3	5.248	Lung
GTEX-VUSH-0008-SM-47JWK	GTEX-VUSH-0008-SM-47JWK	5.248	Skin
GTEX-ZUA1-0008-SM-4YCEW	GTEX-ZUA1-0008-SM-4YCEW	5.248	Skin
GTEX-ZTSS-1226-SM-51MSZ	GTEX-ZTSS-1226-SM-51MSZ	5.247	Colon
GTEX-1128S-0826-SM-5GZZI	GTEX-1128S-0826-SM-5GZZI	5.247	Pancreas
GTEX-S32W-1626-SM-4AD6G	GTEX-S32W-1626-SM-4AD6G	5.246	Cervix Uteri
GTEX-U8XE-0126-SM-4E3I3	GTEX-U8XE-0126-SM-4E3I3	5.246	Testis
GTEX-O5YW-1426-SM-3MJHF	GTEX-O5YW-1426-SM-3MJHF	5.246	Colon
GTEX-YB5E-0826-SM-4VDRZ	GTEX-YB5E-0826-SM-4VDRZ	5.246	Esophagus
GTEX-WI4N-0926-SM-3LK7K	GTEX-WI4N-0926-SM-3LK7K	5.246	Thyroid
GTEX-R55G-0126-SM-48FDS	GTEX-R55G-0126-SM-48FDS	5.246	Adrenal Gland
GTEX-13G51-0011-R6b-SM-5LZX4	GTEX-13G51-0011-R6b-SM-5LZX4	5.246	Brain
GTEX-ZE9C-3026-SM-4WKHB	GTEX-ZE9C-3026-SM-4WKHB	5.246	Brain
GTEX-13QJ3-1826-SM-5S2PT	GTEX-13QJ3-1826-SM-5S2PT	5.245	Esophagus
GTEX-145LT-0326-SM-5LUAD	GTEX-145LT-0326-SM-5LUAD	5.245	Lung
GTEX-ZV6S-0226-SM-59HJT	GTEX-ZV6S-0226-SM-59HJT	5.245	Thyroid
GTEX-12ZZX-2426-SM-5GCOE	GTEX-12ZZX-2426-SM-5GCOE	5.245	Skin
GTEX-ZYFD-0126-SM-5GIDL	GTEX-ZYFD-0126-SM-5GIDL	5.245	Skin
GTEX-XGQ4-1026-SM-4AT4L	GTEX-XGQ4-1026-SM-4AT4L	5.245	Adipose Tissue
GTEX-XPT6-1626-SM-4B655	GTEX-XPT6-1626-SM-4B655	5.244	Testis
GTEX-ZY6K-0826-SM-5A5L7	GTEX-ZY6K-0826-SM-5A5L7	5.244	Esophagus
GTEX-12696-0126-SM-5EQ4L	GTEX-12696-0126-SM-5EQ4L	5.244	Skin
GTEX-WK11-2426-SM-3NMAA	GTEX-WK11-2426-SM-3NMAA	5.244	Adipose Tissue
GTEX-132QS-1126-SM-5P9GC	GTEX-132QS-1126-SM-5P9GC	5.243	Prostate
GTEX-U3ZM-0426-SM-3DB73	GTEX-U3ZM-0426-SM-3DB73	5.242	Lung
GTEX-WVLH-3026-SM-3MJG9	GTEX-WVLH-3026-SM-3MJG9	5.242	Brain
GTEX-SSA3-0326-SM-47JWY	GTEX-SSA3-0326-SM-47JWY	5.241	Muscle
GTEX-Y5LM-1426-SM-5RQJL	GTEX-Y5LM-1426-SM-5RQJL	5.24	Colon
GTEX-ZVP2-1626-SM-5GU5D	GTEX-ZVP2-1626-SM-5GU5D	5.24	Stomach
GTEX-R55D-1526-SM-48FEJ	GTEX-R55D-1526-SM-48FEJ	5.239	Stomach
GTEX-ZVZP-1026-SM-5GICI	GTEX-ZVZP-1026-SM-5GICI	5.239	Thyroid
GTEX-13O3O-0011-R6b-SM-5P9GY	GTEX-13O3O-0011-R6b-SM-5P9GY	5.239	Brain
GTEX-S7SE-0011-R10A-SM-2XCDF	GTEX-S7SE-0011-R10A-SM-2XCDF	5.239	Brain
GTEX-1399T-2826-SM-5KLYZ	GTEX-1399T-2826-SM-5KLYZ	5.239	Skin
GTEX-P78B-1126-SM-3P615	GTEX-P78B-1126-SM-3P615	5.238	Esophagus
GTEX-ZYVF-1726-SM-5E443	GTEX-ZYVF-1726-SM-5E443	5.238	Lung
GTEX-11DXW-0826-SM-5H118	GTEX-11DXW-0826-SM-5H118	5.238	Skin
GTEX-12WS9-0226-SM-5EQ4X	GTEX-12WS9-0226-SM-5EQ4X	5.238	Adipose Tissue
GTEX-13SLW-2926-SM-5Q5BQ	GTEX-13SLW-2926-SM-5Q5BQ	5.237	Pituitary
GTEX-XUW1-1026-SM-4BONY	GTEX-XUW1-1026-SM-4BONY	5.237	Thyroid
GTEX-12126-1026-SM-5P9JJ	GTEX-12126-1026-SM-5P9JJ	5.237	Brain
GTEX-ZXG5-2126-SM-59HKD	GTEX-ZXG5-2126-SM-59HKD	5.237	Skin
GTEX-P78B-2226-SM-3P5ZZ	GTEX-P78B-2226-SM-3P5ZZ	5.237	Vagina
GTEX-132AR-1326-SM-5K7YC	GTEX-132AR-1326-SM-5K7YC	5.237	Blood Vessel
GTEX-131XG-1026-SM-5GCMX	GTEX-131XG-1026-SM-5GCMX	5.236	Esophagus
GTEX-ZT9W-0226-SM-4YCCZ	GTEX-ZT9W-0226-SM-4YCCZ	5.236	Thyroid
GTEX-117YX-1926-SM-5GIEC	GTEX-117YX-1926-SM-5GIEC	5.236	Skin
GTEX-XQ3S-1526-SM-4BOOC	GTEX-XQ3S-1526-SM-4BOOC	5.236	Skin
GTEX-T6MN-2026-SM-4DM7L	GTEX-T6MN-2026-SM-4DM7L	5.235	Testis
GTEX-12WS9-3026-SM-5EGIE	GTEX-12WS9-3026-SM-5EGIE	5.234	Pituitary
GTEX-ZE7O-2626-SM-51MSS	GTEX-ZE7O-2626-SM-51MSS	5.234	Colon
GTEX-PLZ6-0126-SM-48TC6	GTEX-PLZ6-0126-SM-48TC6	5.234	Spleen
GTEX-ZLWG-0126-SM-4WWC5	GTEX-ZLWG-0126-SM-4WWC5	5.234	Adrenal Gland
GTEX-145LS-3126-SM-5Q5BY	GTEX-145LS-3126-SM-5Q5BY	5.234	Brain
GTEX-Y3I4-0008-SM-4TT21	GTEX-Y3I4-0008-SM-4TT21	5.234	Skin
GTEX-YB5E-0008-SM-4VDT7	GTEX-YB5E-0008-SM-4VDT7	5.234	Skin
GTEX-111FC-1426-SM-5N9C7	GTEX-111FC-1426-SM-5N9C7	5.234	Adipose Tissue
GTEX-13S86-0926-SM-5SI6I	GTEX-13S86-0926-SM-5SI6I	5.234	Adipose Tissue
GTEX-13NZB-2526-SM-5J1OM	GTEX-13NZB-2526-SM-5J1OM	5.233	Skin
GTEX-T5JC-1926-SM-4DM6Q	GTEX-T5JC-1926-SM-4DM6Q	5.232	Stomach
GTEX-WHWD-0126-SM-4OORS	GTEX-WHWD-0126-SM-4OORS	5.232	Spleen
GTEX-13FLV-0011-R3b-SM-5LZYP	GTEX-13FLV-0011-R3b-SM-5LZYP	5.232	Brain
GTEX-QEG4-0126-SM-48TZE	GTEX-QEG4-0126-SM-48TZE	5.231	Testis
GTEX-XBEW-1426-SM-4AT4J	GTEX-XBEW-1426-SM-4AT4J	5.231	Esophagus
GTEX-OIZH-0526-SM-2HMKV	GTEX-OIZH-0526-SM-2HMKV	5.231	Lung
GTEX-132NY-1026-SM-5P9IY	GTEX-132NY-1026-SM-5P9IY	5.231	Thyroid
GTEX-QVUS-0011-R8A-SM-3GAD7	GTEX-QVUS-0011-R8A-SM-3GAD7	5.231	Brain
GTEX-ZDXO-0226-SM-4WKH7	GTEX-ZDXO-0226-SM-4WKH7	5.23	Kidney
GTEX-11NSD-1026-SM-5N9BE	GTEX-11NSD-1026-SM-5N9BE	5.23	Testis
GTEX-12WSL-1826-SM-5LZW9	GTEX-12WSL-1826-SM-5LZW9	5.23	Colon
GTEX-WFON-1126-SM-4LVMA	GTEX-WFON-1126-SM-4LVMA	5.23	Stomach
GTEX-SIU7-0926-SM-4BRX1	GTEX-SIU7-0926-SM-4BRX1	5.23	Pancreas
GTEX-Q734-0226-SM-48U1A	GTEX-Q734-0226-SM-48U1A	5.23	Spleen
GTEX-13PL7-1026-SM-5MR5C	GTEX-13PL7-1026-SM-5MR5C	5.23	Adrenal Gland
GTEX-11WQK-0008-SM-5SI6T	GTEX-11WQK-0008-SM-5SI6T	5.23	Skin
GTEX-VUSG-2526-SM-4KL1V	GTEX-VUSG-2526-SM-4KL1V	5.229	Skin
GTEX-QDVJ-1426-SM-48U1Y	GTEX-QDVJ-1426-SM-48U1Y	5.228	Stomach
GTEX-11DXW-0226-SM-5H122	GTEX-11DXW-0226-SM-5H122	5.228	Skin
GTEX-Y8E4-0008-SM-4V6FW	GTEX-Y8E4-0008-SM-4V6FW	5.228	Skin
GTEX-Z93S-1626-SM-5CVMB	GTEX-Z93S-1626-SM-5CVMB	5.228	Skin
GTEX-14BMU-2126-SM-5S2TS	GTEX-14BMU-2126-SM-5S2TS	5.228	Adipose Tissue
GTEX-14BIM-3226-SM-5RQIQ	GTEX-14BIM-3226-SM-5RQIQ	5.227	Pituitary
GTEX-SJXC-2026-SM-4DM6N	GTEX-SJXC-2026-SM-4DM6N	5.227	Prostate
GTEX-12WSI-0011-R11b-SM-5P9EZ	GTEX-12WSI-0011-R11b-SM-5P9EZ	5.227	Brain
GTEX-11WQC-2526-SM-5CVLE	GTEX-11WQC-2526-SM-5CVLE	5.227	Skin
GTEX-X4EO-2926-SM-4E3JH	GTEX-X4EO-2926-SM-4E3JH	5.227	Skin
GTEX-RUSQ-0426-SM-47JWR	GTEX-RUSQ-0426-SM-47JWR	5.227	Blood Vessel
GTEX-WXYG-0226-SM-3NB2Y	GTEX-WXYG-0226-SM-3NB2Y	5.226	Thyroid
GTEX-WHSE-3026-SM-3P5ZH	GTEX-WHSE-3026-SM-3P5ZH	5.226	Brain
GTEX-WWYW-0011-R7A-SM-3NB3H	GTEX-WWYW-0011-R7A-SM-3NB3H	5.226	Brain
GTEX-T2IS-1926-SM-4DM74	GTEX-T2IS-1926-SM-4DM74	5.226	Vagina
GTEX-139T6-2026-SM-5IFFL	GTEX-139T6-2026-SM-5IFFL	5.226	Muscle
GTEX-X15G-2326-SM-4PQZS	GTEX-X15G-2326-SM-4PQZS	5.226	Adipose Tissue
GTEX-QDVN-1226-SM-48TZ5	GTEX-QDVN-1226-SM-48TZ5	5.225	Stomach
GTEX-139YR-1626-SM-5IJGK	GTEX-139YR-1626-SM-5IJGK	5.225	Esophagus
GTEX-T5JC-0011-R10A-SM-32PM2	GTEX-T5JC-0011-R10A-SM-32PM2	5.225	Brain
GTEX-Z9EW-0426-SM-5CVM9	GTEX-Z9EW-0426-SM-5CVM9	5.224	Liver
GTEX-132AR-2426-SM-5IFFD	GTEX-132AR-2426-SM-5IFFD	5.224	Stomach
GTEX-139TU-0726-SM-5L3EK	GTEX-139TU-0726-SM-5L3EK	5.224	Skin
GTEX-1339X-2626-SM-5K7YX	GTEX-1339X-2626-SM-5K7YX	5.224	Blood Vessel
GTEX-13S7M-2226-SM-5S2WB	GTEX-13S7M-2226-SM-5S2WB	5.224	Blood Vessel
GTEX-S7SF-2026-SM-3K2AS	GTEX-S7SF-2026-SM-3K2AS	5.224	Muscle
GTEX-145LT-1826-SM-5QGP4	GTEX-145LT-1826-SM-5QGP4	5.224	Adipose Tissue
GTEX-13CF3-1226-SM-5LZXN	GTEX-13CF3-1226-SM-5LZXN	5.223	Small Intestine
GTEX-R55G-1126-SM-48FDG	GTEX-R55G-1126-SM-48FDG	5.223	Stomach
GTEX-YB5K-0626-SM-5LUB5	GTEX-YB5K-0626-SM-5LUB5	5.223	Esophagus
GTEX-1313W-0011-R4b-SM-5KLZV	GTEX-1313W-0011-R4b-SM-5KLZV	5.223	Brain
GTEX-145MH-0011-R5a-SM-5P9JT	GTEX-145MH-0011-R5a-SM-5P9JT	5.223	Brain
GTEX-P4QR-0326-SM-5SI8P	GTEX-P4QR-0326-SM-5SI8P	5.223	Skin
GTEX-13NYS-0726-SM-5J1OR	GTEX-13NYS-0726-SM-5J1OR	5.223	Adipose Tissue
GTEX-ZVT2-2126-SM-5NQ93	GTEX-ZVT2-2126-SM-5NQ93	5.222	Small Intestine
GTEX-13O61-0926-SM-5IFFE	GTEX-13O61-0926-SM-5IFFE	5.221	Esophagus
GTEX-12WSL-0326-SM-5CVMK	GTEX-12WSL-0326-SM-5CVMK	5.221	Adrenal Gland
GTEX-13W3W-1326-SM-5LU4T	GTEX-13W3W-1326-SM-5LU4T	5.221	Adrenal Gland
GTEX-P44G-0011-R2A-SM-2XCD2	GTEX-P44G-0011-R2A-SM-2XCD2	5.221	Brain
